TAU(MFT),wind,sst,airT,Pressure,TAU(obs)
0.376476,14.3,13.4,5.8,101325,0.234921795497991
0.320824,13.4,13.5,6.8,101325,0.418494599726209
0.208588,11.1,13.5,7.2,101325,0.188915324947448
0.248231,12,13.5,7.1,101325,0.330024029428161
0.104623,8,13.5,5.2,101325,0.573633611288599
0.337089,13.8,13.4,7.9,101325,0.480060183726999
0.331049,13.7,13.4,8,101325,0.530830669799702
0.41352,15.1,13.4,8,101325,0.545968946003342
0.486854,16.3,13.4,9.2,101325,0.612781886155262
0.567438,17.4,13.4,9.3,101325,0.726035701601512
0.509549,16.6,13.4,9,101325,0.594478763287639
0.428214,15.4,13.5,8.9,101325,0.535791694597817
0.558627,17.3,13.6,9.6,101325,0.643034408099598
0.455714,15.8,13.6,8.8,101325,0.538209968320915
0.324043,13.6,13.6,8.3,101325,0.404099616431394
0.345626,14.1,13.6,9.6,101325,0.486154810734194
0.364577,14.4,14,9.9,101325,0.289040222114501
0.414593,15.2,14.1,9.6,101325,0.160126262680424
0.225763,11.6,15.6,10.2,101325,0.211673451334833
0.058536,6.3,14.1,9.9,101325,0.176995734411878
0.105751,8.3,14.3,10,101325,0.179646792345424
0.056938,6.2,14.3,9.8,101325,0.033593154064482
0.010692,2.6,14.3,9.6,101325,0.035794552658191
0.007405,2.1,14.5,9.7,101325,0.053882279090625
3.1E-05,0.1,14.6,9.7,101325,0.046752326145337
0.000553,0.5,14.6,9.7,101325,0.035691035288991
0.012913,2.9,14.6,10.1,101325,0.044844732132102
0.009266,2.4,14.6,9.8,101325,0.166605222006995
0.03321,4.8,14.6,10.5,101325,0.09752866245366
0.061165,6.5,14.5,11,101325,0.117250159914603
0.105379,8.4,14.4,11.3,101325,0.048885376136428
0.119706,8.9,14.4,11.3,101325,0.113632081737509
0.144027,9.7,14.4,11.6,101325,0.155844441671816
0.167749,10.4,14.4,11.8,101325,0.074287280203276
0.174094,10.6,14.4,11.9,101325,0.062325757115337
0.173318,10.6,14.4,12.1,101325,0.136599011709456
0.154261,10.1,14.3,12.3,101325,0.184482329777136
0.210694,11.6,14.4,12.6,101325,0.281894537016949
0.24894,12.5,14.4,12.9,101325,0.293985747953876
0.256657,12.7,14.4,13.2,101325,0.272063099298674
0.269928,13,14.4,13.4,101325,0.294923735904725
0.268831,13,14.4,13.4,101325,0.179864309967264
0.308903,13.8,14.5,13.6,101325,0.419943150914502
0.297031,13.6,14.5,13.8,101325,0.29381058524158
0.311481,13.9,14.5,14,101325,0.152631091197043
0.355466,14.7,14.5,14.1,101325,0.398618112985348
0.390674,15.3,14.5,14.2,101325,0.458795052283697
0.40866,15.6,14.5,14.3,101325,0.419524790685843
0.340887,14.5,14.6,14.4,101325,0.348651244082106
0.393626,15.4,14.6,14.5,101325,0.339846612459209
0.351687,14.7,14.5,14.4,101325,0.248606516406952
0.350983,14.7,14.4,14.4,101325,0.393244211654794
0.379759,15.1,15.2,14.4,101325,0.442777280356615
0.442184,16.1,15.4,14.7,101325,0.597426857447839
0.507055,17.1,14.9,14.7,101325,0.31340571149869
0.485524,16.8,14.9,14.7,101325,0.480588680682348
0.429873,16,15,14.9,101325,0.556394149861409
0.443118,16.2,15.3,15.3,101325,0.615904124032304
0.489401,16.9,15.4,15.6,101325,0.534182712187506
0.070962,7.9,15,15.9,101325,0.66417317771798
0.387752,15.5,14.9,15.7,101325,0.478497575751435
0.614101,18.6,14.8,15.4,101325,0.897784500868666
0.394283,15.6,14.7,15.5,101325,0.87135899605157
0.539337,17.7,14.6,15.5,101325,0.304101446889027
0.614099,18.7,14.5,15.8,101325,0.926147898556165
0.575424,18.2,14.8,15.9,101325,0.680300536527791
0.600629,18.5,14.9,15.9,101325,0.547512419950452
0.123931,9.2,15.3,13.1,101325,0.168961208565753
0.134784,9.3,14.5,10,101325,0.078990948848587
0.123024,8.8,14,8.3,101325,0.105916570941473
0.037022,5,14.1,9.1,101325,0.089319930586628
0.021807,3.8,14.1,8.5,101325,0.060729729128327
0.141797,9.3,14.7,7.7,101325,0.196316300902396
0.140248,9.2,14.5,6.7,101325,0.342886643076105
0.180255,10.3,14.4,6.4,101325,0.218436649855284
0.135338,9,14.3,5.7,101325,0.314285029869385
0.111094,8.2,13.6,5.1,101325,0.185319184112169
0.139424,9.2,11.7,4.9,101325,0.201020123370771
0.153752,9.7,10.1,4.8,101325,0.237151702502849
0.105332,8.5,5.8,4.5,101325,0.062639604085594
0.130857,9.3,7.1,5,101325,0.177564072942699
0.17921,10.4,10.5,5.2,101325,0.165555851603016
0.15228,9.6,11.4,5,101325,0.121580014805066
0.152325,9.6,10.9,4.6,101325,0.024338652386687
0.158884,9.8,10.5,4.5,101325,0.154600808536049
0.102361,8.1,9,4.4,101325,0.135860001472104
0.117066,8.6,9.6,4.7,101325,0.151327789913155
0.123842,8.8,10,4.7,101325,0.101038655968891
0.069446,6.7,10.1,4.5,101325,0.037401203189202
0.030629,4.5,9.7,4.2,101325,0.037914772846478
0.029459,4.5,7.9,4.1,101325,0.021905707018948
0.040091,5.3,7.9,4.7,101325,0.059425415438178
0.065783,6.7,8.8,5.5,101325,0.065478546104812
0.098005,8.1,9.2,6.3,101325,0.037678243058826
0.177421,10.8,7.6,6.7,101325,0.14126945883665
0.194477,12.3,2.6,6.2,101325,0.14125282298064
0.106538,10,2.9,6.6,101325,0.15484708586215
0.173175,11.9,2.5,6.5,101325,0.187178123721764
0.230122,13.3,2.1,6.9,101325,0.225753715362561
0.281823,14.3,2.4,7.3,101325,0.316650753986154
0.229855,13.3,2.5,7.3,101325,0.335127557804487
0.373093,15.8,2.3,7,101325,0.684161808346534
0.217603,12.9,2.1,6.2,101325,0.23653097048801
0.226841,12.9,2.2,5.4,101325,0.311676306446287
0.154037,10.8,2.1,3.6,101325,0.157784821830238
0.13523,10,2.3,3,101325,0.063647937908467
0.558953,17.3,2.3,0.9,101325,0.925372708696339
0.739076,19.3,2.4,0,101325,1.01719363446691
0.780755,19.7,2.4,-0.4,101325,0.891163986031752
0.722736,19,2.3,-1.3,101325,1.12756928390232
0.695993,18.6,2.2,-2.3,101325,1.30069189280167
0.670272,18.2,2.2,-3.5,101325,1.12567847096762
0.60555,17.4,2.2,-3.9,101325,0.844179157525226
0.550524,16.7,2.2,-4,101325,0.735092191497094
0.476596,15.7,2.2,-4,101325,0.34465566874781
0.178484,10.2,2.2,-3.9,101325,0.221421995294054
0.141095,9.2,2.2,-3.5,101325,0.14714000135925
0.074134,6.9,2.2,-2.5,101325,0.073711057515138
0.061491,6.4,2.2,-1.4,101325,0.021360009363294
0.221328,11.6,3.3,0.9,101325,0.293887138201045
0.294334,13.1,4.5,1.7,101325,0.110658619185312
0.348066,14.2,4.2,2.4,101325,0.227587873139146
0.364876,14.6,4.3,3.4,101325,0.404649638576386
0.338082,14.3,4.5,4.6,101325,0.358212185722373
0.339932,14.5,4.9,5.6,101325,0.371502799451094
0.307575,14,5.2,6.2,101325,0.401717562473935
